,Team Name,Year,Wins,Losses,OT Losses,Win %,Goals For (GF),Goals Against (GA),+ / -
0,Boston Bruins,1990,44,24,,0.55,299,264,35
1,Buffalo Sabres,1990,31,30,,0.388,292,278,14
2,Calgary Flames,1990,46,26,,0.575,344,263,81
3,Chicago Blackhawks,1990,49,23,,0.613,284,211,73
4,Detroit Red Wings,1990,34,38,,0.425,273,298,-25
5,Edmonton Oilers,1990,37,37,,0.463,272,272,0
6,Hartford Whalers,1990,31,38,,0.388,238,276,-38
7,Los Angeles Kings,1990,46,24,,0.575,340,254,86
8,Minnesota North Stars,1990,27,39,,0.338,256,266,-10
9,Montreal Canadiens,1990,39,30,,0.487,273,249,24
10,New Jersey Devils,1990,32,33,,0.4,272,264,8
11,New York Islanders,1990,25,45,,0.312,223,290,-67
12,New York Rangers,1990,36,31,,0.45,297,265,32
13,Philadelphia Flyers,1990,33,37,,0.412,252,267,-15
14,Pittsburgh Penguins,1990,41,33,,0.512,342,305,37
15,Quebec Nordiques,1990,16,50,,0.2,236,354,-118
16,St. Louis Blues,1990,47,22,,0.588,310,250,60
17,Toronto Maple Leafs,1990,23,46,,0.287,241,318,-77
18,Vancouver Canucks,1990,28,43,,0.35,243,315,-72
19,Washington Capitals,1990,37,36,,0.463,258,258,0
20,Winnipeg Jets,1990,26,43,,0.325,260,288,-28
21,Boston Bruins,1991,36,32,,0.45,270,275,-5
22,Buffalo Sabres,1991,31,37,,0.388,289,299,-10
23,Calgary Flames,1991,31,37,,0.388,296,305,-9
24,Chicago Blackhawks,1991,36,29,,0.45,257,236,21
25,Detroit Red Wings,1991,43,25,,0.537,320,256,64
26,Edmonton Oilers,1991,36,34,,0.45,295,297,-2
27,Hartford Whalers,1991,26,41,,0.325,247,283,-36
28,Los Angeles Kings,1991,35,31,,0.438,287,296,-9
29,Minnesota North Stars,1991,32,42,,0.4,246,278,-32
30,Montreal Canadiens,1991,41,28,,0.512,267,207,60
31,New Jersey Devils,1991,38,31,,0.475,289,259,30
32,New York Islanders,1991,34,35,,0.425,291,299,-8
33,New York Rangers,1991,50,25,,0.625,321,246,75
34,Philadelphia Flyers,1991,32,37,,0.4,252,273,-21
35,Pittsburgh Penguins,1991,39,32,,0.487,343,308,35
36,Quebec Nordiques,1991,20,48,,0.25,255,318,-63
37,San Jose Sharks,1991,17,58,,0.212,219,359,-140
38,St. Louis Blues,1991,36,33,,0.45,279,266,13
39,Toronto Maple Leafs,1991,30,43,,0.375,234,294,-60
40,Vancouver Canucks,1991,42,26,,0.525,285,250,35
41,Washington Capitals,1991,45,27,,0.562,330,275,55
42,Winnipeg Jets,1991,33,32,,0.412,251,244,7
43,Boston Bruins,1992,51,26,,0.607,332,268,64
44,Buffalo Sabres,1992,38,36,,0.452,335,297,38
45,Calgary Flames,1992,43,30,,0.512,322,282,40
46,Chicago Blackhawks,1992,47,25,,0.56,279,230,49
47,Detroit Red Wings,1992,47,28,,0.56,369,280,89
48,Edmonton Oilers,1992,26,50,,0.31,242,337,-95
49,Hartford Whalers,1992,26,52,,0.31,284,369,-85
50,Los Angeles Kings,1992,39,35,,0.464,338,340,-2
51,Minnesota North Stars,1992,36,38,,0.429,272,293,-21
52,Montreal Canadiens,1992,48,30,,0.571,326,280,46
53,New Jersey Devils,1992,40,37,,0.476,308,299,9
54,New York Islanders,1992,40,37,,0.476,335,297,38
55,New York Rangers,1992,34,39,,0.405,304,308,-4
56,Ottawa Senators,1992,10,70,,0.119,202,395,-193
57,Philadelphia Flyers,1992,36,37,,0.429,319,319,0
58,Pittsburgh Penguins,1992,56,21,,0.667,367,268,99
59,Quebec Nordiques,1992,47,27,,0.56,351,300,51
60,San Jose Sharks,1992,11,71,,0.131,218,414,-196
61,St. Louis Blues,1992,37,36,,0.44,282,278,4
62,Tampa Bay Lightning,1992,23,54,,0.274,245,332,-87
63,Toronto Maple Leafs,1992,44,29,,0.524,288,241,47
64,Vancouver Canucks,1992,46,29,,0.548,346,278,68
65,Washington Capitals,1992,43,34,,0.512,325,286,39
66,Winnipeg Jets,1992,40,37,,0.476,322,320,2
67,Mighty Ducks of Anaheim,1993,33,46,,0.393,229,251,-22
68,Boston Bruins,1993,42,29,,0.5,289,252,37
69,Buffalo Sabres,1993,43,32,,0.512,282,218,64
70,Calgary Flames,1993,42,29,,0.5,302,256,46
71,Chicago Blackhawks,1993,39,36,,0.464,254,240,14
72,Dallas Stars,1993,42,29,,0.5,286,265,21
73,Detroit Red Wings,1993,46,30,,0.548,356,275,81
74,Edmonton Oilers,1993,25,45,,0.298,261,305,-44
75,Florida Panthers,1993,33,34,,0.393,233,233,0
76,Hartford Whalers,1993,27,48,,0.321,227,288,-61
77,Los Angeles Kings,1993,27,45,,0.321,294,322,-28
78,Montreal Canadiens,1993,41,29,,0.488,283,248,35
79,New Jersey Devils,1993,47,25,,0.56,306,220,86
80,New York Islanders,1993,36,36,,0.429,282,264,18
81,New York Rangers,1993,52,24,,0.619,299,231,68
82,Ottawa Senators,1993,14,61,,0.167,201,397,-196
83,Philadelphia Flyers,1993,35,39,,0.417,294,314,-20
84,Pittsburgh Penguins,1993,44,27,,0.524,299,285,14
85,Quebec Nordiques,1993,34,42,,0.405,277,292,-15
86,San Jose Sharks,1993,33,35,,0.393,252,265,-13
87,St. Louis Blues,1993,40,33,,0.476,270,283,-13
88,Tampa Bay Lightning,1993,30,43,,0.357,224,251,-27
89,Toronto Maple Leafs,1993,43,29,,0.512,280,243,37
90,Vancouver Canucks,1993,41,40,,0.488,279,276,3
91,Washington Capitals,1993,39,35,,0.464,277,263,14
92,Winnipeg Jets,1993,24,51,,0.286,245,344,-99
93,Mighty Ducks of Anaheim,1994,16,27,,0.333,125,164,-39
94,Boston Bruins,1994,27,18,,0.562,150,127,23
95,Buffalo Sabres,1994,22,19,,0.458,130,119,11
96,Calgary Flames,1994,24,17,,0.5,163,135,28
97,Chicago Blackhawks,1994,24,19,,0.5,156,115,41
98,Dallas Stars,1994,17,23,,0.354,136,135,1
99,Detroit Red Wings,1994,33,11,,0.688,180,117,63
100,Edmonton Oilers,1994,17,27,,0.354,136,183,-47
101,Florida Panthers,1994,20,22,,0.417,115,127,-12
102,Hartford Whalers,1994,19,24,,0.396,127,141,-14
103,Los Angeles Kings,1994,16,23,,0.333,142,174,-32
104,Montreal Canadiens,1994,18,23,,0.375,125,148,-23
105,New Jersey Devils,1994,22,18,,0.458,136,121,15
106,New York Islanders,1994,15,28,,0.312,126,158,-32
107,New York Rangers,1994,22,23,,0.458,139,134,5
108,Ottawa Senators,1994,9,34,,0.188,117,174,-57
109,Philadelphia Flyers,1994,28,16,,0.583,150,132,18
110,Pittsburgh Penguins,1994,29,16,,0.604,181,158,23
111,Quebec Nordiques,1994,30,13,,0.625,185,134,51
112,San Jose Sharks,1994,19,25,,0.396,129,161,-32
113,St. Louis Blues,1994,28,15,,0.583,178,135,43
114,Tampa Bay Lightning,1994,17,28,,0.354,120,144,-24
115,Toronto Maple Leafs,1994,21,19,,0.438,135,146,-11
116,Vancouver Canucks,1994,18,18,,0.375,153,148,5
117,Washington Capitals,1994,22,18,,0.458,136,120,16
118,Winnipeg Jets,1994,16,25,,0.333,157,177,-20
119,Mighty Ducks of Anaheim,1995,35,39,,0.427,234,247,-13
120,Boston Bruins,1995,40,31,,0.488,282,269,13
121,Buffalo Sabres,1995,33,42,,0.402,247,262,-15
122,Calgary Flames,1995,34,37,,0.415,241,240,1
123,Chicago Blackhawks,1995,40,28,,0.488,273,220,53
124,Colorado Avalanche,1995,47,25,,0.573,326,240,86
125,Dallas Stars,1995,26,42,,0.317,227,280,-53
126,Detroit Red Wings,1995,62,13,,0.756,325,181,144
127,Edmonton Oilers,1995,30,44,,0.366,240,304,-64
128,Florida Panthers,1995,41,31,,0.5,254,234,20
129,Hartford Whalers,1995,34,39,,0.415,237,259,-22
130,Los Angeles Kings,1995,24,40,,0.293,256,302,-46
131,Montreal Canadiens,1995,40,32,,0.488,265,248,17
132,New Jersey Devils,1995,37,33,,0.451,215,202,13
133,New York Islanders,1995,22,50,,0.268,229,315,-86
134,New York Rangers,1995,41,27,,0.5,272,237,35
135,Ottawa Senators,1995,18,59,,0.22,191,291,-100
136,Philadelphia Flyers,1995,45,24,,0.549,282,208,74
137,Pittsburgh Penguins,1995,49,29,,0.598,362,284,78
138,San Jose Sharks,1995,20,55,,0.244,252,357,-105
139,St. Louis Blues,1995,32,34,,0.39,219,248,-29
140,Tampa Bay Lightning,1995,38,32,,0.463,238,248,-10
141,Toronto Maple Leafs,1995,34,36,,0.415,247,252,-5
142,Vancouver Canucks,1995,32,35,,0.39,278,278,0
143,Washington Capitals,1995,39,32,,0.476,234,204,30
144,Winnipeg Jets,1995,36,40,,0.439,275,291,-16
145,Mighty Ducks of Anaheim,1996,36,33,,0.439,245,233,12
146,Boston Bruins,1996,26,47,,0.317,234,300,-66
147,Buffalo Sabres,1996,40,30,,0.488,237,208,29
148,Calgary Flames,1996,32,41,,0.39,214,239,-25
149,Chicago Blackhawks,1996,34,35,,0.415,223,210,13
150,Colorado Avalanche,1996,49,24,,0.598,277,205,72
151,Dallas Stars,1996,48,26,,0.585,252,198,54
152,Detroit Red Wings,1996,38,26,,0.463,253,197,56
153,Edmonton Oilers,1996,36,37,,0.439,252,247,5
154,Florida Panthers,1996,35,28,,0.427,221,201,20
155,Hartford Whalers,1996,32,39,,0.39,226,256,-30
156,Los Angeles Kings,1996,28,43,,0.341,214,268,-54
157,Montreal Canadiens,1996,31,36,,0.378,249,276,-27
158,New Jersey Devils,1996,45,23,,0.549,231,182,49
159,New York Islanders,1996,29,41,,0.354,240,250,-10
160,New York Rangers,1996,38,34,,0.463,258,231,27
161,Ottawa Senators,1996,31,36,,0.378,226,234,-8
162,Philadelphia Flyers,1996,45,24,,0.549,274,217,57
163,Phoenix Coyotes,1996,38,37,,0.463,240,243,-3
164,Pittsburgh Penguins,1996,38,36,,0.463,285,280,5
165,San Jose Sharks,1996,27,47,,0.329,211,278,-67
166,St. Louis Blues,1996,36,35,,0.439,236,239,-3
167,Tampa Bay Lightning,1996,32,40,,0.39,217,247,-30
168,Toronto Maple Leafs,1996,30,44,,0.366,230,273,-43
169,Vancouver Canucks,1996,35,40,,0.427,257,273,-16
170,Washington Capitals,1996,33,40,,0.402,214,231,-17
171,Mighty Ducks of Anaheim,1997,26,43,,0.317,205,261,-56
172,Boston Bruins,1997,39,30,,0.476,221,194,27
173,Buffalo Sabres,1997,36,29,,0.439,211,187,24
174,Calgary Flames,1997,26,41,,0.317,217,252,-35
175,Carolina Hurricanes,1997,33,41,,0.402,200,219,-19
176,Chicago Blackhawks,1997,30,39,,0.366,192,199,-7
177,Colorado Avalanche,1997,39,26,,0.476,231,205,26
178,Dallas Stars,1997,49,22,,0.598,242,167,75
179,Detroit Red Wings,1997,44,23,,0.537,250,196,54
180,Edmonton Oilers,1997,35,37,,0.427,215,224,-9
181,Florida Panthers,1997,24,43,,0.293,203,256,-53
182,Los Angeles Kings,1997,38,33,,0.463,227,225,2
183,Montreal Canadiens,1997,37,32,,0.451,235,208,27
184,New Jersey Devils,1997,48,23,,0.585,225,166,59
185,New York Islanders,1997,30,41,,0.366,212,225,-13
186,New York Rangers,1997,25,39,,0.305,197,231,-34
187,Ottawa Senators,1997,34,33,,0.415,193,200,-7
188,Philadelphia Flyers,1997,42,29,,0.512,242,193,49
189,Phoenix Coyotes,1997,35,35,,0.427,224,227,-3
190,Pittsburgh Penguins,1997,40,24,,0.488,228,188,40
191,San Jose Sharks,1997,34,38,,0.415,210,216,-6
192,St. Louis Blues,1997,45,29,,0.549,256,204,52
193,Tampa Bay Lightning,1997,17,55,,0.207,151,269,-118
194,Toronto Maple Leafs,1997,30,43,,0.366,194,237,-43
195,Vancouver Canucks,1997,25,43,,0.305,224,273,-49
196,Washington Capitals,1997,40,30,,0.488,219,202,17
197,Mighty Ducks of Anaheim,1998,35,34,,0.427,215,206,9
198,Boston Bruins,1998,39,30,,0.476,214,181,33
199,Buffalo Sabres,1998,37,28,,0.451,207,175,32
200,Calgary Flames,1998,30,40,,0.366,211,234,-23
201,Carolina Hurricanes,1998,34,30,,0.415,210,202,8
202,Chicago Blackhawks,1998,29,41,,0.354,202,248,-46
203,Colorado Avalanche,1998,44,28,,0.537,239,205,34
204,Dallas Stars,1998,51,19,,0.622,236,168,68
205,Detroit Red Wings,1998,43,32,,0.524,245,202,43
206,Edmonton Oilers,1998,33,37,,0.402,230,226,4
207,Florida Panthers,1998,30,34,,0.366,210,228,-18
208,Los Angeles Kings,1998,32,45,,0.39,189,222,-33
209,Montreal Canadiens,1998,32,39,,0.39,184,209,-25
210,Nashville Predators,1998,28,47,,0.341,190,261,-71
211,New Jersey Devils,1998,47,24,,0.573,248,196,52
212,New York Islanders,1998,24,48,,0.293,194,244,-50
213,New York Rangers,1998,33,38,,0.402,217,227,-10
214,Ottawa Senators,1998,44,23,,0.537,239,179,60
215,Philadelphia Flyers,1998,37,26,,0.451,231,196,35
216,Phoenix Coyotes,1998,39,31,,0.476,205,197,8
217,Pittsburgh Penguins,1998,38,30,,0.463,242,225,17
218,San Jose Sharks,1998,31,33,,0.378,196,191,5
219,St. Louis Blues,1998,37,32,,0.451,237,209,28
220,Tampa Bay Lightning,1998,19,54,,0.232,179,292,-113
221,Toronto Maple Leafs,1998,45,30,,0.549,268,231,37
222,Vancouver Canucks,1998,23,47,,0.28,192,258,-66
223,Washington Capitals,1998,31,45,,0.378,200,218,-18
224,Mighty Ducks of Anaheim,1999,34,33,3,0.415,217,227,-10
225,Atlanta Thrashers,1999,14,57,4,0.171,170,313,-143
226,Boston Bruins,1999,24,33,6,0.293,210,248,-38
227,Buffalo Sabres,1999,35,32,4,0.427,213,204,9
228,Calgary Flames,1999,31,36,5,0.378,211,256,-45
229,Carolina Hurricanes,1999,37,35,0,0.451,217,216,1
230,Chicago Blackhawks,1999,33,37,2,0.402,242,245,-3
231,Colorado Avalanche,1999,42,28,1,0.512,233,201,32
232,Dallas Stars,1999,43,23,6,0.524,211,184,27
233,Detroit Red Wings,1999,48,22,2,0.585,278,210,68
234,Edmonton Oilers,1999,32,26,8,0.39,226,212,14
235,Florida Panthers,1999,43,27,6,0.524,244,209,35
236,Los Angeles Kings,1999,39,27,4,0.476,245,228,17
237,Montreal Canadiens,1999,35,34,4,0.427,196,194,2
238,Nashville Predators,1999,28,40,7,0.341,199,240,-41
239,New Jersey Devils,1999,45,24,5,0.549,251,203,48
240,New York Islanders,1999,24,48,1,0.293,194,275,-81
241,New York Rangers,1999,29,38,3,0.354,218,246,-28
242,Ottawa Senators,1999,41,28,2,0.5,244,210,34
243,Philadelphia Flyers,1999,45,22,3,0.549,237,179,58
244,Phoenix Coyotes,1999,39,31,4,0.476,232,228,4
245,Pittsburgh Penguins,1999,37,31,6,0.451,241,236,5
246,San Jose Sharks,1999,35,30,7,0.427,225,214,11
247,St. Louis Blues,1999,51,19,1,0.622,248,165,83
248,Tampa Bay Lightning,1999,19,47,7,0.232,204,310,-106
249,Toronto Maple Leafs,1999,45,27,3,0.549,246,222,24
250,Vancouver Canucks,1999,30,29,8,0.366,227,237,-10
251,Washington Capitals,1999,44,24,2,0.537,227,194,33
252,Mighty Ducks of Anaheim,2000,25,41,5,0.305,188,245,-57
253,Atlanta Thrashers,2000,23,45,2,0.28,211,289,-78
254,Boston Bruins,2000,36,30,8,0.439,227,249,-22
255,Buffalo Sabres,2000,46,30,1,0.561,218,184,34
256,Calgary Flames,2000,27,36,4,0.329,197,236,-39
257,Carolina Hurricanes,2000,38,32,3,0.463,212,225,-13
258,Columbus Blue Jackets,2000,28,39,6,0.341,190,233,-43
259,Chicago Blackhawks,2000,29,40,5,0.354,210,246,-36
260,Colorado Avalanche,2000,52,16,4,0.634,270,192,78
261,Dallas Stars,2000,48,24,2,0.585,241,187,54
262,Detroit Red Wings,2000,49,20,4,0.598,253,202,51
263,Edmonton Oilers,2000,39,28,3,0.476,243,222,21
264,Florida Panthers,2000,22,38,9,0.268,200,246,-46
265,Los Angeles Kings,2000,38,28,3,0.463,252,228,24
266,Minnesota Wild,2000,25,39,5,0.305,168,210,-42
267,Montreal Canadiens,2000,28,40,6,0.341,206,232,-26
268,Nashville Predators,2000,34,36,3,0.415,186,200,-14
269,New Jersey Devils,2000,48,19,3,0.585,295,195,100
270,New York Islanders,2000,21,51,3,0.256,185,268,-83
271,New York Rangers,2000,33,43,1,0.402,250,290,-40
272,Ottawa Senators,2000,48,21,4,0.585,274,205,69
273,Philadelphia Flyers,2000,43,25,3,0.524,240,207,33
274,Phoenix Coyotes,2000,35,27,3,0.427,214,212,2
275,Pittsburgh Penguins,2000,42,28,3,0.512,281,256,25
276,San Jose Sharks,2000,40,27,3,0.488,217,192,25
277,St. Louis Blues,2000,43,22,5,0.524,249,195,54
278,Tampa Bay Lightning,2000,24,47,5,0.293,201,280,-79
279,Toronto Maple Leafs,2000,37,29,5,0.451,232,207,25
280,Vancouver Canucks,2000,36,28,7,0.439,239,238,1
281,Washington Capitals,2000,41,27,4,0.5,233,211,22
282,Mighty Ducks of Anaheim,2001,29,42,3,0.354,175,198,-23
283,Atlanta Thrashers,2001,19,47,5,0.232,187,288,-101
284,Boston Bruins,2001,43,24,9,0.524,236,201,35
285,Buffalo Sabres,2001,35,35,1,0.427,213,200,13
286,Calgary Flames,2001,32,35,3,0.39,201,220,-19
287,Carolina Hurricanes,2001,35,26,5,0.427,217,217,0
288,Columbus Blue Jackets,2001,22,47,5,0.268,164,255,-91
289,Chicago Blackhawks,2001,41,27,1,0.5,216,207,9
290,Colorado Avalanche,2001,45,28,1,0.549,212,169,43
291,Dallas Stars,2001,36,28,5,0.439,215,213,2
292,Detroit Red Wings,2001,51,17,4,0.622,251,187,64
293,Edmonton Oilers,2001,38,28,4,0.463,205,182,23
294,Florida Panthers,2001,22,44,6,0.268,180,250,-70
295,Los Angeles Kings,2001,40,27,4,0.488,214,190,24
296,Minnesota Wild,2001,26,35,9,0.317,195,238,-43
297,Montreal Canadiens,2001,36,31,3,0.439,207,209,-2
298,Nashville Predators,2001,28,41,0,0.341,196,230,-34
299,New Jersey Devils,2001,41,28,4,0.5,205,187,18
300,New York Islanders,2001,42,28,4,0.512,239,220,19
301,New York Rangers,2001,36,38,4,0.439,227,258,-31
302,Ottawa Senators,2001,39,27,7,0.476,243,208,35
303,Philadelphia Flyers,2001,42,27,3,0.512,234,192,42
304,Phoenix Coyotes,2001,40,27,6,0.488,228,210,18
305,Pittsburgh Penguins,2001,28,41,5,0.341,198,249,-51
306,San Jose Sharks,2001,44,27,3,0.537,248,199,49
307,St. Louis Blues,2001,43,27,4,0.524,227,188,39
308,Tampa Bay Lightning,2001,27,40,4,0.329,178,219,-41
309,Toronto Maple Leafs,2001,43,25,4,0.524,249,207,42
310,Vancouver Canucks,2001,42,30,3,0.512,254,211,43
311,Washington Capitals,2001,36,33,2,0.439,228,240,-12
312,Mighty Ducks of Anaheim,2002,40,27,6,0.488,203,193,10
313,Atlanta Thrashers,2002,31,39,5,0.378,226,284,-58
314,Boston Bruins,2002,36,31,4,0.439,245,237,8
315,Buffalo Sabres,2002,27,37,8,0.329,190,219,-29
316,Calgary Flames,2002,29,36,4,0.354,186,228,-42
317,Carolina Hurricanes,2002,22,43,6,0.268,171,240,-69
318,Columbus Blue Jackets,2002,29,42,3,0.354,213,263,-50
319,Chicago Blackhawks,2002,30,33,6,0.366,207,226,-19
320,Colorado Avalanche,2002,42,19,8,0.512,251,194,57
321,Dallas Stars,2002,46,17,4,0.561,245,169,76
322,Detroit Red Wings,2002,48,20,4,0.585,269,203,66
323,Edmonton Oilers,2002,36,26,9,0.439,231,230,1
324,Florida Panthers,2002,24,36,9,0.293,176,237,-61
325,Los Angeles Kings,2002,33,37,6,0.402,203,221,-18
326,Minnesota Wild,2002,42,29,1,0.512,198,178,20
327,Montreal Canadiens,2002,30,35,9,0.366,206,234,-28
328,Nashville Predators,2002,27,35,7,0.329,183,206,-23
