Anime Title,Year Aired,Rating,Status,Number of Episode,Genre,Source
Shingeki no Kyojin,2013,8.54,Finished,25,"['Action', 'Award Winning', 'Drama', 'Suspense']",Manga
Fullmetal Alchemist: Brotherhood,2009,9.09,Finished,64,"['Action', 'Adventure', 'Drama', 'Fantasy']",Manga
One Punch Man,2015,8.5,Finished,12,"['Action', 'Comedy']",Web manga
Sword Art Online,2012,7.2,Finished,25,"['Action', 'Adventure', 'Fantasy', 'Romance']",Light novel
Boku no Hero Academia,2016,7.87,Finished,13,['Action'],Manga
Kimetsu no Yaiba,2019,8.48,Finished,26,"['Action', 'Award Winning', 'Fantasy']",Manga
Naruto,2002,7.99,Finished,220,"['Action', 'Adventure', 'Fantasy']",Manga
Hunter x Hunter (2011),2011,9.04,Finished,148,"['Action', 'Adventure', 'Fantasy']",Manga
Tokyo Ghoul,2014,7.79,Finished,12,"['Action', 'Fantasy', 'Horror']",Manga
Shingeki no Kyojin Season 2,2017,8.51,Finished,12,"['Action', 'Drama', 'Suspense']",Manga
Boku no Hero Academia 2nd Season,2017,8.09,Finished,25,['Action'],Manga
Jujutsu Kaisen,2020,8.61,Finished,24,"['Action', 'Award Winning', 'Fantasy']",Manga
Naruto: Shippuuden,2007,8.27,Finished,500,"['Action', 'Adventure', 'Fantasy']",Manga
Shingeki no Kyojin Season 3,2018,8.62,Finished,12,"['Action', 'Drama', 'Suspense']",Manga
One Piece,1999,8.72,Airing,?,"['Action', 'Adventure', 'Fantasy']",Manga
Shingeki no Kyojin Season 3 Part 2,2019,9.05,Finished,10,"['Action', 'Drama', 'Suspense']",Manga
Code Geass: Hangyaku no Lelouch,2006,8.7,Finished,25,"['Action', 'Award Winning', 'Drama', 'Sci-Fi']",Original
Boku no Hero Academia 3rd Season,2018,8.02,Finished,25,['Action'],Manga
Noragami,2014,7.95,Finished,12,"['Action', 'Fantasy']",Manga
Akame ga Kill!,2014,7.47,Finished,24,"['Action', 'Fantasy']",Manga
Mob Psycho 100,2016,8.49,Finished,12,"['Action', 'Comedy', 'Supernatural']",Web manga
Nanatsu no Taizai,2014,7.64,Finished,24,"['Action', 'Adventure', 'Fantasy']",Manga
Mirai Nikki (TV),2011,7.4,Finished,26,"['Action', 'Supernatural', 'Suspense']",Manga
Ansatsu Kyoushitsu,2015,8.08,Finished,22,"['Action', 'Comedy']",Manga
Shingeki no Kyojin: The Final Season,2020,8.79,Finished,16,"['Action', 'Drama', 'Suspense']",Manga
Sword Art Online II,2014,6.71,Finished,24,"['Action', 'Adventure', 'Fantasy', 'Romance']",Light novel
