Anime Title,Year Aired,Rating,Status,Number of Episode,Genre,Source
Boku dake ga Inai Machi,2016,8.3,Finished,12,"['Mystery', 'Supernatural', 'Suspense']",Manga
Yakusoku no Neverland,2019,8.5,Finished,12,"['Fantasy', 'Mystery', 'Sci-Fi', 'Suspense']",Manga
Another,2012,7.47,Finished,12,"['Horror', 'Mystery', 'Supernatural']",Novel
Psycho-Pass,2012,8.33,Finished,22,"['Action', 'Mystery', 'Sci-Fi', 'Suspense']",Original
Kakegurui,2017,7.24,Finished,12,"['Drama', 'Mystery']",Manga
Durarara!!,2010,8.1,Finished,24,"['Action', 'Mystery', 'Supernatural']",Light novel
Bakemonogatari,2009,8.33,Finished,15,"['Mystery', 'Romance', 'Supernatural']",Light novel
Bungou Stray Dogs,2016,7.82,Finished,12,"['Action', 'Mystery', 'Supernatural']",Manga
Made in Abyss,2017,8.65,Finished,13,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",Web manga
Hyouka,2012,8.07,Finished,22,"['Mystery', 'Slice of Life']",Novel
Kuroshitsuji,2008,7.66,Finished,24,"['Action', 'Fantasy', 'Mystery']",Manga
Zankyou no Terror,2014,8.09,Finished,11,"['Mystery', 'Suspense']",Original
Monster,2004,8.88,Finished,74,"['Drama', 'Mystery', 'Suspense']",Manga
Darker than Black: Kuro no Keiyakusha,2007,8.06,Finished,25,"['Action', 'Mystery', 'Sci-Fi']",Original
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,2013,7.2,Finished,13,"['Horror', 'Mystery']",Visual novel
Black Bullet,2014,7.09,Finished,13,"['Action', 'Mystery', 'Sci-Fi']",Source
Suzumiya Haruhi no Yuuutsu,2006,7.83,Finished,14,"['Award Winning', 'Comedy', 'Mystery', 'Sci-Fi']",Light novel
Kami no Tou,2020,7.55,Finished,13,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']",Web manga
Baccano!,2007,8.36,Finished,13,"['Action', 'Mystery', 'Supernatural']",Light novel
Bungou Stray Dogs 2nd Season,2016,8.18,Finished,12,"['Action', 'Mystery', 'Supernatural']",Manga
Mushishi,2005,8.66,Finished,26,"['Adventure', 'Mystery', 'Slice of Life', 'Supernatural']",Manga
Higurashi no Naku Koro ni,2006,7.88,Finished,26,"['Horror', 'Mystery', 'Supernatural']",Visual novel
Yamada-kun to 7-nin no Majo,2015,7.54,Finished,12,"['Comedy', 'Mystery', 'Romance', 'Supernatural']",Manga
Shinsekai yori,2012,8.27,Finished,25,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi', 'Suspense']",Novel
Kakegurui××,2019,7.19,Finished,12,"['Drama', 'Mystery']",Manga
Serial Experiments Lain,1998,8.09,Finished,13,"['Avant Garde', 'Award Winning', 'Drama', 'Mystery', 'Sci-Fi', 'Supernatural', 'Suspense']",Original
K,2012,7.43,Finished,13,"['Action', 'Fantasy', 'Mystery']",Original
Nisemonogatari,2012,8.14,Finished,11,"['Comedy', 'Mystery', 'Supernatural', 'Ecchi']",Light novel
Monogatari Series: Second Season,2013,8.76,Finished,26,"['Comedy', 'Mystery', 'Romance', 'Supernatural']",Light novel
Great Pretender,2020,8.21,Finished,23,"['Action', 'Adventure', 'Mystery']",Original
Psycho-Pass 2,2014,7.4,Finished,11,"['Action', 'Mystery', 'Sci-Fi', 'Suspense']",Original
Ergo Proxy,2006,7.9,Finished,23,"['Mystery', 'Sci-Fi']",Original
Koukaku Kidoutai,1995,8.27,Finished,1,"['Action', 'Award Winning', 'Mystery', 'Sci-Fi', 'Suspense']",Manga
Rokka no Yuusha,2015,7.27,Finished,12,"['Action', 'Adventure', 'Fantasy', 'Mystery']",Light novel
Bungou Stray Dogs 3rd Season,2019,8.21,Finished,12,"['Action', 'Mystery', 'Supernatural']",Manga
Suzumiya Haruhi no Shoushitsu,2010,8.6,Finished,1,"['Award Winning', 'Mystery', 'Sci-Fi', 'Supernatural']",Light novel
Vampire Knight,2008,6.86,Finished,13,"['Drama', 'Mystery', 'Romance', 'Supernatural']",Manga
Shiki,2010,7.73,Finished,22,"['Horror', 'Mystery', 'Supernatural']",Manga
Zetsuen no Tempest,2012,7.9,Finished,24,"['Action', 'Drama', 'Fantasy', 'Mystery']",Manga
Ajin,2016,7.39,Finished,13,"['Action', 'Horror', 'Mystery', 'Supernatural']",Manga
Higashi no Eden,2009,7.75,Finished,11,"['Award Winning', 'Mystery', 'Romance', 'Sci-Fi', 'Suspense']",Original
Darwin's Game,2020,7.22,Finished,11,"['Action', 'Mystery', 'Sci-Fi', 'Suspense']",Manga
Gosick,2011,8.04,Finished,24,"['Drama', 'Mystery', 'Romance']",Light novel
Paprika,2006,8.04,Finished,1,"['Avant Garde', 'Award Winning', 'Fantasy', 'Mystery', 'Sci-Fi', 'Suspense']",Novel
Suzumiya Haruhi no Yuuutsu (2009),2009,7.22,Finished,14,"['Comedy', 'Mystery', 'Sci-Fi']",Light novel
Kizumonogatari I: Tekketsu-hen,2016,8.36,Finished,1,"['Action', 'Mystery', 'Supernatural']",Light novel
Vanitas no Karte,2021,7.9,Finished,12,"['Action', 'Fantasy', 'Mystery']",Manga
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",2021,7.35,Finished,12,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Romance']",Source
Summertime Render,2022,8.49,Finished,25,"['Mystery', 'Supernatural', 'Suspense']",Manga
