Anime Title,Year Aired,Rating,Status,Number of Episode,Genre,Source
Sword Art Online,2012,7.2,Finished,25,"['Action', 'Adventure', 'Fantasy', 'Romance']",Light novel
Shigatsu wa Kimi no Uso,2014,8.64,Finished,22,"['Drama', 'Romance']",Manga
Toradora!,2008,8.07,Finished,25,"['Drama', 'Romance']",Light novel
Sword Art Online II,2014,6.71,Finished,24,"['Action', 'Adventure', 'Fantasy', 'Romance']",Light novel
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,2018,8.23,Finished,13,"['Drama', 'Romance', 'Supernatural']",Light novel
Darling in the FranXX,2018,7.2,Finished,24,"['Action', 'Drama', 'Romance', 'Sci-Fi']",Trigger
Elfen Lied,2004,7.47,Finished,13,"['Action', 'Drama', 'Horror', 'Romance', 'Supernatural']",Manga
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,2013,8.0,Finished,13,"['Comedy', 'Romance']",Light novel
High School DxD,2012,7.33,Finished,12,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']",Light novel
Clannad,2007,7.99,Finished,23,"['Drama', 'Romance', 'Supernatural']",Visual novel
Bakemonogatari,2009,8.33,Finished,15,"['Mystery', 'Romance', 'Supernatural']",Light novel
Horimiya,2021,8.2,Finished,13,['Romance'],Manga
Chuunibyou demo Koi ga Shitai!,2012,7.7,Finished,12,"['Comedy', 'Romance']",Light novel
Howl no Ugoku Shiro,2004,8.66,Finished,1,"['Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Romance']",Novel
Kaichou wa Maid-sama!,2010,8.0,Finished,26,"['Comedy', 'Romance']",Manga
Sakura-sou no Pet na Kanojo,2012,8.07,Finished,24,"['Drama', 'Romance']",Light novel
Clannad: After Story,2008,8.93,Finished,24,"['Drama', 'Romance', 'Supernatural']",Visual novel
Nisekoi,2014,7.57,Finished,20,"['Comedy', 'Romance']",Manga
Ouran Koukou Host Club,2006,8.16,Finished,26,"['Comedy', 'Romance']",Manga
Tonari no Kaibutsu-kun,2012,7.47,Finished,13,"['Comedy', 'Romance']",Manga
Mahouka Koukou no Rettousei,2014,7.39,Finished,26,"['Action', 'Fantasy', 'Romance', 'Sci-Fi']",Light novel
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,2015,8.2,Finished,13,"['Comedy', 'Romance']",Light novel
Sono Bisque Doll wa Koi wo Suru,2022,8.2,Finished,12,['Romance'],Manga
Golden Time,2013,7.74,Finished,24,"['Drama', 'Romance']",Light novel
ReLIFE,2016,7.97,Finished,13,"['Drama', 'Romance']",Web manga
Date A Live,2013,7.15,Finished,12,"['Action', 'Fantasy', 'Romance', 'Sci-Fi']",Light novel
Tenki no Ko,2019,8.28,Finished,1,"['Award Winning', 'Drama', 'Fantasy', 'Romance']",Original
Wotaku ni Koi wa Muzukashii,2018,7.93,Finished,11,['Romance'],Web manga
"Kanojo, Okarishimasu",2020,7.0,Finished,12,"['Comedy', 'Romance']",Manga
Kimi no Suizou wo Tabetai,2018,8.55,Finished,1,"['Drama', 'Romance']",Novel
Rakudai Kishi no Cavalry,2015,7.44,Finished,12,"['Action', 'Fantasy', 'Romance', 'Ecchi']",Source
Fate/stay night,2006,7.28,Finished,24,"['Action', 'Fantasy', 'Romance', 'Supernatural']",Visual novel
5-toubun no Hanayome,2019,7.65,Finished,12,"['Comedy', 'Romance']",Manga
Byousoku 5 Centimeter,2007,7.57,Finished,3,"['Drama', 'Romance']",Original
Kimi ni Todoke,2009,8.01,Finished,25,"['Drama', 'Romance']",Manga
Plastic Memories,2015,7.91,Finished,13,"['Drama', 'Romance', 'Sci-Fi']",Original
Gekkan Shoujo Nozaki-kun,2014,7.83,Finished,12,"['Comedy', 'Romance']",4-koma manga
Ao Haru Ride,2014,7.64,Finished,12,['Romance'],Manga
Mahoutsukai no Yome,2017,8.06,Finished,24,"['Drama', 'Fantasy', 'Romance']",Manga
High School DxD New,2013,7.47,Finished,12,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']",Light novel
Kaguya-sama wa Kokurasetai: Ultra Romantic,2022,9.02,Finished,13,"['Comedy', 'Romance']",Manga
Masamune-kun no Revenge,2017,6.75,Finished,12,"['Comedy', 'Romance']",Manga
No Game No Life: Zero,2017,8.18,Finished,1,"['Drama', 'Fantasy', 'Romance']",Light novel
Kotonoha no Niwa,2013,7.88,Finished,1,"['Award Winning', 'Drama', 'Romance']",Original
Akatsuki no Yona,2014,8.03,Finished,24,"['Action', 'Adventure', 'Fantasy', 'Romance']",Manga
Trinity Seven,2014,7.05,Finished,12,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']",Manga
Kokoro Connect,2012,7.74,Finished,13,"['Drama', 'Romance', 'Supernatural']",Light novel
Fruits Basket 1st Season,2019,8.21,Finished,25,"['Drama', 'Romance', 'Supernatural']",Manga
Orange,2016,7.62,Finished,13,"['Drama', 'Romance', 'Sci-Fi']",Manga
Hotarubi no Mori e,2011,8.28,Finished,1,"['Award Winning', 'Drama', 'Romance', 'Supernatural']",Manga
Zero no Tsukaima,2006,7.22,Finished,13,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']",Light novel
Ookami to Koushinryou,2008,8.22,Finished,13,"['Adventure', 'Fantasy', 'Romance']",Light novel
Boku wa Tomodachi ga Sukunai,2011,7.15,Finished,12,"['Comedy', 'Romance', 'Ecchi']",Light novel
High School DxD BorN,2015,7.42,Finished,12,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']",Light novel
InuYasha,2000,7.86,Finished,167,"['Action', 'Adventure', 'Fantasy', 'Romance']",Manga
Toki wo Kakeru Shoujo,2006,8.1,Finished,1,"['Award Winning', 'Drama', 'Romance', 'Sci-Fi']",Novel
Yamada-kun to 7-nin no Majo,2015,7.54,Finished,12,"['Comedy', 'Mystery', 'Romance', 'Supernatural']",Manga
Monster Musume no Iru Nichijou,2015,6.95,Finished,12,"['Comedy', 'Fantasy', 'Romance', 'Ecchi']",Manga
Domestic na Kanojo,2019,6.66,Finished,12,"['Drama', 'Romance']",Manga
Kiznaiver,2016,7.37,Finished,12,"['Drama', 'Romance', 'Sci-Fi']",Original
NHK ni Youkoso!,2006,8.31,Finished,24,"['Comedy', 'Drama', 'Romance']",Novel
Chuunibyou demo Koi ga Shitai! Ren,2014,7.55,Finished,12,"['Comedy', 'Romance']",Light novel
Tonikaku Kawaii,2020,7.87,Finished,12,"['Comedy', 'Romance']",Manga
Tsurezure Children,2017,7.55,Finished,12,"['Comedy', 'Romance']",4-koma manga
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,2020,8.36,Finished,12,"['Comedy', 'Romance']",Light novel
Eromanga-sensei,2017,6.34,Finished,12,"['Comedy', 'Romance', 'Ecchi']",Light novel
Accel World,2012,7.22,Finished,24,"['Action', 'Romance', 'Sci-Fi']",Light novel
5-toubun no Hanayome ∬,2021,8.05,Finished,12,"['Comedy', 'Romance']",Manga
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,2019,8.59,Finished,1,"['Drama', 'Romance', 'Supernatural']",Light novel
Nisekoi:,2015,7.35,Finished,12,"['Comedy', 'Romance']",Manga
Rosario to Vampire,2008,6.74,Finished,13,"['Comedy', 'Fantasy', 'Romance', 'Ecchi']",Manga
Kuzu no Honkai,2017,7.12,Finished,12,"['Drama', 'Romance']",Manga
Shinmai Maou no Testament,2015,6.7,Finished,12,"['Action', 'Fantasy', 'Romance', 'Ecchi']",Light novel
Akagami no Shirayuki-hime,2015,7.76,Finished,12,"['Drama', 'Fantasy', 'Romance']",Manga
Ore Monogatari!!,2015,7.9,Finished,24,"['Comedy', 'Romance']",Manga
Monogatari Series: Second Season,2013,8.76,Finished,26,"['Comedy', 'Mystery', 'Romance', 'Supernatural']",Light novel
School Days,2007,5.52,Finished,12,"['Drama', 'Romance']",Visual novel
Gakusen Toshi Asterisk,2015,6.81,Finished,12,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Sci-Fi', 'Ecchi']",Light novel
Nana,2006,8.55,Finished,47,"['Drama', 'Romance']",Manga
Saenai Heroine no Sodatekata,2015,7.48,Finished,12,"['Comedy', 'Romance', 'Ecchi']",Light novel
Suki tte Ii na yo.,2012,7.41,Finished,13,"['Drama', 'Romance']",Manga
Kamisama Hajimemashita,2012,8.1,Finished,13,"['Comedy', 'Fantasy', 'Romance']",Manga
Gamers!,2017,6.75,Finished,12,"['Comedy', 'Romance']",Light novel
To LOVE-Ru,2008,6.98,Finished,26,"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",Manga
Baka to Test to Shoukanjuu,2010,7.51,Finished,13,"['Comedy', 'Romance']",Light novel
Date A Live II,2014,7.18,Finished,10,"['Action', 'Fantasy', 'Romance', 'Sci-Fi']",Light novel
Kami nomi zo Shiru Sekai,2010,7.65,Finished,12,"['Comedy', 'Romance', 'Supernatural']",Manga
Bakuman.,2010,8.18,Finished,25,"['Comedy', 'Drama', 'Romance']",Manga
Sankarea,2012,7.28,Finished,12,"['Comedy', 'Horror', 'Romance', 'Supernatural', 'Ecchi']",Manga
Grisaia no Kajitsu,2014,7.47,Finished,13,"['Drama', 'Romance']",Visual novel
The Last: Naruto the Movie,2014,7.79,Finished,1,"['Action', 'Adventure', 'Fantasy', 'Romance']",Manga
Hige wo Soru. Soshite Joshikousei wo Hirou.,2021,7.28,Finished,13,"['Drama', 'Romance']",Light novel
Vampire Knight,2008,6.86,Finished,13,"['Drama', 'Mystery', 'Romance', 'Supernatural']",Manga
Nagi no Asu kara,2013,7.96,Finished,26,"['Drama', 'Fantasy', 'Romance']",Original
Lovely★Complex,2007,8.03,Finished,24,"['Comedy', 'Romance']",Manga
Kenja no Mago,2019,6.62,Finished,12,"['Action', 'Comedy', 'Fantasy', 'Romance']",Light novel
Kiss x Sis (TV),2010,6.59,Finished,12,"['Comedy', 'Romance', 'Ecchi']",Manga
Yofukashi no Uta,2022,7.98,Finished,13,"['Romance', 'Supernatural']",Manga
Higashi no Eden,2009,7.75,Finished,11,"['Award Winning', 'Mystery', 'Romance', 'Sci-Fi', 'Suspense']",Original
Katanagatari,2010,8.31,Finished,12,"['Action', 'Adventure', 'Romance']",Light novel
Isekai wa Smartphone to Tomo ni.,2017,6.13,Finished,12,"['Adventure', 'Comedy', 'Fantasy', 'Romance']",Light novel
Absolute Duo,2015,6.42,Finished,12,"['Action', 'Fantasy', 'Romance', 'Ecchi']",Light novel
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,2013,6.91,Finished,13,"['Comedy', 'Romance']",Light novel
Nekomonogatari: Kuro,2012,7.92,Finished,4,"['Comedy', 'Romance', 'Supernatural', 'Ecchi']",Light novel
Gosick,2011,8.04,Finished,24,"['Drama', 'Mystery', 'Romance']",Light novel
